,Unnamed: 0,sentence,label
0,0,"Excellent sushi, great service, and good happy hour specials.  It has a decent sports bar theme.  I had my bachelor party here and even my friends who don't care for fish liked the place.  I also go here for business dinners.\n\nTry the Ladybug Roll just for the presentation.",4
1,0,"Great price for the breakfast deal $4.99 chicken steak & eggs, friendly staff good food and price. Music is little loud. But it is a bar, what can you say right ??",3
2,0,"When I signed my lease they told me they recommend having the apt. sprayed for pests EVERY MONTH. The manger admits they have a roach problem and the pest control man told me as soon as it warms up the \""water bugs\"" meaning big roaches will show up. There is a pigeon infestation that is so bad when the wind comes up, there are feathers flying all over outside - it looks like you are inside a room full of birds. They poop on my stairs, entry way, live on my roof, near my air conditioning unit, feathers come in from the dryer vent. The pigeons sit in the dumpsters so when you put a bag of garbage in the dumpster, they fly up and get agressive and dustr and mites go all over the place. I get bit from bird mites when I go to get my mail. Have to wear long pants, socks and shoes to not get bit. My kitchen sink drains out in front of my apartment out into the parking area so there is always a stream of water there. I can see soap suds under the front of my building. Kitchen is a mess. Dishwasher opens across the two sinks, try putting dishes in when you have to move away from the sink, the refig is old and lopsided so the door won't stay open. Cupbards are so small I have to turn my dishes sideways to get them in. No linen closet, stacked washer & dryer with NO place to put laundry stuff. I contacted the manger because I have a bug infestation, which I showed the bugs to the police and they told me to contact the management and have pest control come out and find out what they are. Manager will not respond, I made second request in person in the office, still no response, now the management doesn't speak to me. My guess is several people got bird mites from the pigeon infestation so they are ignoring finding out if the bugs are bird mites. I lost my clothing and belongings due to it, am moving in 11 more days. Yes the view of the golf course is pretty, but the old men in the golf carts go right up to your bedroom and livingroom windows. You have NO privacy at all.I can hear my neighbors do laundry, shower. I fell sorry for the lady below me because I have to do so much laundry due to the bug infestation.",0
3,0,"La Promesa is a great bakery.  The empanadas here and at La Purisima are the best around, perfect flakey crust combined with delectable fillings.  Strawberry, lemon, apple, cherry, pineapple, all scrumptious and free of preservatives.  This place is great if your in the east side and can't get to La Purisima in Glendale, both shops are family owned and are of equal quality.",3
4,0,Vegans beware! My vegan friend was just informed that her request for a basic vegetable wrap would inconvenience the kitchen too much and that she should order the veggie burger which has tofu - unfortunately she's allergic to soy. Awkwardness ensued. Eventually they did give her a delicious veggie wrap.\n\nThe hummus was really good - the bread especially was delicious. You also shouldn't miss out on the cheese curds.\n\nI went with the crispy chicken sandwich and added guacamole which was absolutely the right choice. \n\nOverall a solid enough experience - there are definitely better burger joints in Madison but if you're here for Trivia (Thursdays & Sundays) or just to watch a game it's a great spot.,3
5,0,"Overpriced and under-fun. This was more trouble than it was worth and the \""crime scenes\"" were G-rated and boring. Probably OK for kids, but if you're over 12, skip it.",0
6,0,"My only complaint, truly, was that I found it to be a bit loud and so, once we moved to a sofa seating arrangement, I had a hard time hearing my friends who were sitting across from me. The music was great, just a tad too much on the side of I-am-not-involved-in-the-convo-because-I-have-no-idea-what-the-convo-is.\n\nAll things considered, however, it was fairly minor. At the bar, it wasn't as bad. Maybe that's the key? OK, got that bad news out of the way? Great, moving on.\n\nWe visited level 1.5 twice in one night... I am not sure what that tells you, but I can think of a few things. ;)\n\nThe service was superb (thanks, Brandy!), the drinks were strong (loved the slightly sweet, slightly bitter London Summer and the sweet margarita shot), and the other patrons were awesome. This level envelopes you in the chandelier idea and it's easy to forget  - supported by the amazing service and beautiful draped lighting - that you are in a casino. If I looked carefully (i.e. focused on what was outside the decor) then I could look down to the casino floor and see the clanging slot machines as a reminder (I couldn't hear them, big plus). I also love that the chandelier concept is layered... you can (whether or not you should is another story) thread your hands through the layers of strings that make this wonderful facade. It's just another detail to love, I think.\n\nThe layout is easy to navigate from level to level, seating is comfortable, amenities (read: restrooms and such) are easy to find, and the elevator as you move up and down the casino floors is fun to people watch from (and, to be fair, in).\n\nDefinitely on my \""let's hang out here\"" list. We drank well, smiled and laughed much, and generally had a fantastic time. Totally repeatable... often.",2
7,0,"Overpriced and food wasn't good! It was a wild place with all the going on with the employees dressing up going around giving free shots etc., but food was bad and pricey!",3
8,0,"I really wanted to like this place, I really did. It looked so cool and had a neat menu. I didn't mind the 30 minute wait for my table, but...\nFirst of all the place was absolutely chaotic! Servers, food runners and bussers running into each other. I watched a table get wiped down 3 times by 3 different people with a dirty cloth that smelled like a school cafeteria. There seemed to be no communication with each other bc everyone seemed confused. I ordered a juice which took longer than it should bc they have one juice area and it was crowded with servers. \nNow for what I really minded...\nMy food took about 35 minutes to come out and when it did, it was all wrong and tasted terrible. Hash browns are made in house but even after ordering them crispy, they came out wet and undercooked in the center. The only thing crispy was the outside. My eggs were ordered over medium but came out so undercooked. Just white slime on top. The sausage links are butterflied and you get 2 links instead of 3 like every other breakfast place. They obviously slice them so it looks like more. I didnt really mind that bc I can never finish 3, but I didn't like the taste. My English muffin was thick and doughy, not toasted. DISASTER! I just sent it back and asked for a pancake after they offered me something else. It never came...\nIt was a complete waste of an hour and a half that I could have had for holiday shopping!  The 2 stars are for the really nice hostesses up front",0
9,0,"OMFG!!!!!\n\nKinda glad I don't live anywhere near this place! I'd be as big as a house. THe donuts are AMAZING!!!!! The Elvis and the Banana Cream Pie are every bit as delicious as they are beautiful. Just wish the one with the dates and blu cheese had more of a blu cheese punch. \n\nWhile the donuts are amazing, give their coffee a try! The chocolate macadamia coffee has developed into a new addiction!",4
10,0,"Come here if you want to be nickeled and dimmed. Just got charged $4 for two pieces of whole wheat toast that wasn't even properly toasted. Not a bread basket with jam and honey, oh no, 2 pieces of toast.  I can't believe I just paid $2 for a piece of bread. And if you want whip cream with ur $15 waffles it will cost you $2. Unbelievable, that an upscale place like this would do that. I get better service and tastier food in the diner in BK.",0
11,0,"This has been on my excel document of go to's for a long while now and was finally fulfilled last year. \n\nIt was dinner time and we took an elevator up to the level of the restaurant and once you get out, there is a hostess waiting for you. You see the kitchen immediately and the hostess brings you to your table. We didn't have to wait at all. \n\nJust as I hoped for, we got a table right by the window. Perfect view of the Bellagio and their water show. The only thing that ruined the view was cloudy sky. But I wasn't going to let that ruin my dinner.\n\nThe waiter was on top of everything and our glasses were never empty. I ordered the Baked Alaskan Halibut with vegetables and a side of potato gratin. I ordered the side because I had a feeling the portions would be small, but boy was I wrong. The fish was huge and the sauces so delicious. \n\nFor dessert we had the chocolate souffle, which I must say, is DELICIOUS! I still remember the sweet warm chocolate melting in my mouth. Ah, I'd definitely just return for dessert.\n\nThe only reason why I am giving this 4 stars instead of 5 is for one thing. When I took my first bite into my fish, there was a bone in it. And that's just not right. At least it was the only bone in my fish I found.",0
12,0,"My roommate and I decided to get pedicures on our vacation.  We tried to look up some locations and prices. We couldn't find many places that listed prices but ran across great reviews for the Qua Spa at Cesaer's on yelp and decided to make an appointment. It turns out that Qua is the spa and Color is the salon. We were a little disappointed because we wanted to see what Qua was like.\n\nWe were lead in and given mimosas. The place is very bright white and has a lot of marble. Allyn did my pedicure and was really nice and easy to talk to. The chairs have a great rolling massage option which was better than the typical vibrating chair massage. They also played fun top 40's which my roommate and I bopped along too as we joked around with our pedicurists. Allyn did slough off slightly too much skin because my toe had a tiny trickle of blood ( it's not her fault though, my feet are bone dry and prone to cracking, it also didn't hurt at all). Overall, it was a great experience. The only downside was the price- $100 for just a pedicure, but we figured we were on vacation in Vegas and just shrugged it off!",4
