,statement,choice
0, He loves to stroll at the park with his bed ,"#statement:  He loves to stroll at the park with his bed 

        Select the most corresponding reason why this statement is against common sense:
        A. A bed is too heavy to carry with when strolling at a park
B. walking at a park is good for health
C. Some beds are big while some are smaller
        choice: 
         (A)"
0, The inverter was able to power the continent. ,"#statement:  The inverter was able to power the continent. 

        Select the most corresponding reason why this statement is against common sense:
        A. An inverter is smaller than a car
B. An inverter is incapable of powering an entire continent.
C. An inverter is rechargeable.
        choice: 
         B"
0, The chef put extra lemons on the pizza. ,"#statement:  The chef put extra lemons on the pizza. 

        Select the most corresponding reason why this statement is against common sense:
        A. Many types of lemons are to sour to eat.
B. Lemons and pizzas are both usually round.
C. Lemons are not a pizza topping.
        choice: 
         (A)"
0, sugar is used to make coffee sour ,"#statement:  sugar is used to make coffee sour 

        Select the most corresponding reason why this statement is against common sense:
        A. sugar is white while coffee is brown
B. sugar can dissolve in the coffee
C. sugar usually is used as a sweetener
        choice: 
         (A) Sugar cannot be added directly into hot liquid, such as black or green tea because it will burn and create an unpleasant taste due its high melting point of around  1"
0, There are beautiful planes here and there in the garden ,"#statement:  There are beautiful planes here and there in the garden 

        Select the most corresponding reason why this statement is against common sense:
        A. A plane flies upon the garden
B. You can have a small garden in your private plane
C. A plane can never be seen in garden
        choice: 
         (D) All of above"
0," Once a pipe bursts, call a doctor. ","#statement:  Once a pipe bursts, call a doctor. 

        Select the most corresponding reason why this statement is against common sense:
        A. Plumbers need to be trained.
B. plumbers fix the pipes while doctors cure sick people
C. Pipes come in all different sizes.
        choice: 
         B"
0, Nobody hates paying taxes ,"#statement:  Nobody hates paying taxes 

        Select the most corresponding reason why this statement is against common sense:
        A. Not everybody needs to pay the tax
B. Taxes eliminate a great amount of our income and nobody wants to pay that amount that could be used for something else
C. Nobody, taxes and everyone are English words
        choice: 
         B"
0, all whales are small ,"#statement:  all whales are small 

        Select the most corresponding reason why this statement is against common sense:
        A. whales are actually mammals
B. whales come in different sizes but almost all are very big
C. whale becomes whale fall after dead and feeds lots of small animals
        choice: 
         B"
0, the boat enjoyed rolling in the mud ,"#statement:  the boat enjoyed rolling in the mud 

        Select the most corresponding reason why this statement is against common sense:
        A. mud is a mix of water and dirt
B. boats do not have emotions
C. boats can float on the water
        choice: 
         (A)"
0, Barbies are the horrible desire for kids ,"#statement:  Barbies are the horrible desire for kids 

        Select the most corresponding reason why this statement is against common sense:
        A. the most horrible thing for the baby is that her barbies were lost
B. some kids do not like barbies
C. There is nothing wrong with kids desiring dolls as toys
        choice: 
         (A) The Most Horible Thing For Kids Is That Her Barbie'S Were Lost"
0, The window looks out her ,"#statement:  The window looks out her 

        Select the most corresponding reason why this statement is against common sense:
        A. She is wearing clothes and the window is clear
B. Eyes belong to people, not windows
C. Windows doesn't look at people
        choice: 
         B"
0, crack addicts are addicted to chocolate milk ,"#statement:  crack addicts are addicted to chocolate milk 

        Select the most corresponding reason why this statement is against common sense:
        A. chocolate milk is delicious to drink on hot
B. you cannot inject chocolate milk
C. chocolate milk is not addictive
        choice: 
         (A) or"
0, the generator was able to power the continent ,"#statement:  the generator was able to power the continent 

        Select the most corresponding reason why this statement is against common sense:
        A. the continent need far more power than a generator can produce
B. the generator can produce 10 kilowatts of power
C. the generator is much smaller than the continent
        choice: 
         (A) The continents needs are way beyond what any single generators could provide, so it's unlikely that one would be enough for an entire country or region let alone all five sub-"
0, Toads are not made of wood ,"#statement:  Toads are not made of wood 

        Select the most corresponding reason why this statement is against common sense:
        A. trees can be made for wood
B. a witch can't eat wood
C. a witch is flesh and bones
        choice: 
         C)a toad cannot exist without being covered in slime"
0, She went to the grocery store to get an aneurysm. ,"#statement:  She went to the grocery store to get an aneurysm. 

        Select the most corresponding reason why this statement is against common sense:
        A. An aneurysm is a medical condition.
B. Aneurysms aren't in season.
C. Aneurysms need to be special orders.
        choice: 
         (A)An aneurism is a medial condtion"
0, He pulled the water over his head when he got into bed. ,"#statement:  He pulled the water over his head when he got into bed. 

        Select the most corresponding reason why this statement is against common sense:
        A. people put covers not water on the bed
B. Water would make people wet and covers would make people dry.
C. Nobody can sleep in the water
        choice: 
         B"
0, She is hypnotizing a book. ,"#statement:  She is hypnotizing a book. 

        Select the most corresponding reason why this statement is against common sense:
        A. Books are inanimate objects.
B. Books contain much information.
C. Bestsellers of books are very popular.
        choice: 
         (A)Books are inanimate object"
0, Roberts' room is sleeping ,"#statement:  Roberts' room is sleeping 

        Select the most corresponding reason why this statement is against common sense:
        A. A room cannot close his eyes, because he has no eyes, so he can't sleep.
B. Robert won't let the room sleep because he needs to sleep in it first.
C. Robert can sleep in his room
        choice: 
         ( )   B"
0, Birds like to stay in the same location all year long. ,"#statement:  Birds like to stay in the same location all year long. 

        Select the most corresponding reason why this statement is against common sense:
        A. Birds change their habitats depending on the local temperature
B. Cold weather is inconvenient for the bird to survive
C. All year long he is chasing that bird
        choice: 
         B"
0, The boy ate a basketball ,"#statement:  The boy ate a basketball 

        Select the most corresponding reason why this statement is against common sense:
        A. Basketballs are high in rubber
B. You cannot eat a basketball
C. Basketballs are round
        choice: 
         B)You cannot eat a ball"
0, He put a pig into the pan ,"#statement:  He put a pig into the pan 

        Select the most corresponding reason why this statement is against common sense:
        A. pigs are usually pink while pans are usually silver
B. a pig is much bigger than a pan
C. pigs cannot use a pan
        choice: 
         D. it's not possible to fit an entire animal in a kitchen appliance"
0, waiting in line is for patient people ,"#statement:  waiting in line is for patient people 

        Select the most corresponding reason why this statement is against common sense:
        A. Something you find at an internet cafe is a customer
B. Some games have more precise rules than others
C. waiting in line is to avoid crowd
        choice: 
         C)waiting in line is too avoid crowds"
0, humans never go to sleep ,"#statement:  humans never go to sleep 

        Select the most corresponding reason why this statement is against common sense:
        A. people who do not sleep for a long time will die
B. humans mostly go to sleep at night
C. sleep help you recover and gain energy
        choice: 
         B"
0, I can have a haircut at the pharmacy ,"#statement:  I can have a haircut at the pharmacy 

        Select the most corresponding reason why this statement is against common sense:
        A. Hair can be cut at the hairdresser or barber
B. hairdressers and pharmacists both earn money
C. I always like my new style of haircut
        choice: 
         (A)"
0, There are four years each season. ,"#statement:  There are four years each season. 

        Select the most corresponding reason why this statement is against common sense:
        A. different seasons have different temperatures
B. a year can be dived into four seasons
C. a season is shorter than a year
        choice: 
         (A) Different Seasons Have Different Temperature"
