,Unnamed: 0,statement,choice
0,0, He loves to stroll at the park with his bed ,C
1,0, The inverter was able to power the continent. ,B
2,0, The chef put extra lemons on the pizza. ,C
3,0, sugar is used to make coffee sour ,C
4,0, There are beautiful planes here and there in the garden ,C
5,0," Once a pipe bursts, call a doctor. ",B
6,0, Nobody hates paying taxes ,B
7,0, all whales are small ,B
8,0, the boat enjoyed rolling in the mud ,C
9,0, Barbies are the horrible desire for kids ,A
10,0, The window looks out her ,B
11,0, crack addicts are addicted to chocolate milk ,B
12,0, the generator was able to power the continent ,A
13,0, Toads are not made of wood ,B
14,0, She went to the grocery store to get an aneurysm. ,C
15,0, He pulled the water over his head when he got into bed. ,B
16,0, She is hypnotizing a book. ,A
17,0, Roberts' room is sleeping ,B
18,0, Birds like to stay in the same location all year long. ,C
19,0, The boy ate a basketball ,B
20,0, He put a pig into the pan ,A
21,0, waiting in line is for patient people ,C
22,0, humans never go to sleep ,B
23,0, I can have a haircut at the pharmacy ,B
24,0, There are four years each season. ,A
25,0, The giraffe is riding the bicycle. ,A
26,0, I put on my sunglasses because it was an overcast day. ,B
27,0, Kim is dating the garbage. ,B
28,0, A television plays audio only. ,B
29,0, Rabbits are carnivores ,C
30,0, I put a car inside the fridge. ,A
31,0, Firetrucks are green ,B
32,0, Amazon is the only place to shop online. ,A
33,0, an aircraft carrier is a human ,B
34,0, Plastic is more expensive than gold. ,A
35,0, The branch ate the parrot. ,B
36,0, Today I ran three ice-creams to gain a lot of calories to help me lose weight. ,C
37,0, You do not need eyes to read a book. ,B
38,0, the dog is talking ,B
39,0, weathering is a hammer that breaks rock ,A
40,0, The sun sprays water on the planet ,A
41,0, people can need sleep ,C
42,0, he wrote a great hamburger ,A
43,0, If you're poor you can buy a yacht. ,C
44,0, apple is a blue fruit ,B
45,0, Monkeys have long necks. ,B
46,0, Tim went to the school in the sky ,B
47,0, Salsa is for hair ,B
48,0, Everyday I feed my dog some chocolate bars. ,B
49,0, My knee was scrapped and I put dirt on it. ,B
50,0, Jeremy fetches a bull from the cabinet. ,B
51,0, the TV is walking away ,C
