,Unnamed: 0,statement,choice
0,0, He loves to stroll at the park with his bed ,A
1,0, The inverter was able to power the continent. ,B
2,0, The chef put extra lemons on the pizza. ,A
3,0, sugar is used to make coffee sour ,A
4,0, There are beautiful planes here and there in the garden ,A
5,0," Once a pipe bursts, call a doctor. ",B
6,0, Nobody hates paying taxes ,B
7,0, all whales are small ,B
8,0, the boat enjoyed rolling in the mud ,A
9,0, Barbies are the horrible desire for kids ,A
10,0, The window looks out her ,B
11,0, crack addicts are addicted to chocolate milk ,A
12,0, the generator was able to power the continent ,A
13,0, Toads are not made of wood ,C
14,0, She went to the grocery store to get an aneurysm. ,A
15,0, He pulled the water over his head when he got into bed. ,B
16,0, She is hypnotizing a book. ,A
17,0, Roberts' room is sleeping ,B
18,0, Birds like to stay in the same location all year long. ,B
19,0, The boy ate a basketball ,B
21,0, waiting in line is for patient people ,C
22,0, humans never go to sleep ,B
23,0, I can have a haircut at the pharmacy ,A
24,0, There are four years each season. ,A
25,0, The giraffe is riding the bicycle. ,A
26,0, I put on my sunglasses because it was an overcast day. ,B
27,0, Kim is dating the garbage. ,B
28,0, A television plays audio only. ,A
29,0, Rabbits are carnivores ,C
30,0, I put a car inside the fridge. ,A
31,0, Firetrucks are green ,B
32,0, Amazon is the only place to shop online. ,A
34,0, Plastic is more expensive than gold. ,A
35,0, The branch ate the parrot. ,B
36,0, Today I ran three ice-creams to gain a lot of calories to help me lose weight. ,A
37,0, You do not need eyes to read a book. ,A
38,0, the dog is talking ,B
39,0, weathering is a hammer that breaks rock ,A
40,0, The sun sprays water on the planet ,A
41,0, people can need sleep ,C
43,0, If you're poor you can buy a yacht. ,A
44,0, apple is a blue fruit ,A
45,0, Monkeys have long necks. ,B
46,0, Tim went to the school in the sky ,A
47,0, Salsa is for hair ,B
48,0, Everyday I feed my dog some chocolate bars. ,B
49,0, My knee was scrapped and I put dirt on it. ,A
50,0, Jeremy fetches a bull from the cabinet. ,A
51,0, the TV is walking away ,A
52,0, Something you find at a hotel is n cow shelter ,A
53,0, He purchased chemical and cement to prepare a sandwich for dinner ,A
54,0, i am going are computer buy on mobile shop ,B
55,0, God lives physically on earth ,A
56,0, A family do not need a house. ,C
57,0, We need fire to survive. ,B
60,0, He filled his Car Tank with  water. ,A
61,0, They stored food in the ground in summer ,C
62,0, dogs can live underwater ,A
64,0, Something you find at the road is a t.v. ,A
65,0, Mowing the lawn requires zero people to accomplish the task. ,B
66,0, It is easy to see the stars on a clear day. ,B
67,0, she sipped a shoe ,A
68,0, Helicopters can speak English ,C
69,0, A normal person has 4 arms ,A
70,0, I finished my studies inside the sewer ,A
71,0, Eating loves me ,B
72,0, The sun comes out at night ,A
73,0, You can use your eyes to eat ,B
74,0, onions are grown in the tree ,B
75,0, You can open a jar with your teeth. ,C
76,0, Beer that is drunk by humans is white ,A
77,0, You should leave the lights on when you leave the room. ,A
78,0, You can dance anywhere. ,A
79,0, A train is used for sailing ,A
80,0, The boy wore his new shoes on his back. ,B
81,0, He drinks energy drinks before sleeping ,B
82,0, I use grass to cut my lawnmower. ,A
83,0, the owner of the restaurant apologized for the good customer service ,B
84,0, she eats a table for breakfast every day ,C
85,0, Molly ordered the AC on ,A
86,0, the comedian performed magic tricks ,A
87,0, SHE EAT A MOBILE PHONE ,A
88,0, Dolphins are fish. ,A
89,0," in summers, always the weather is cold. ",B
90,0, The animals bloomed in the spring ,A
91,0, The stone can float on the water ,A
92,0, He hide a lion in the closet. ,A
93,0, A soldier shot with a guitar. ,A
94,0, Breakfast is eating during the night. ,A
95,0, It is easy to find seashells in the forest ,B
96,0, She went to college to learn how to drive a car ,A
97,0, He can fly. ,B
98,0, The library is under a river downtown ,B
99,0, short is life ,A
100,0, Water is not healthy. ,A
101,0, eating trash food every day makes you stronger ,C
102,0, People like to eat land ,B
