,statement,choice
0, He loves to stroll at the park with his bed ,"#statement:  He loves to stroll at the park with his bed 
Choose the option regarding why this statement is against common sense:
A. A bed is too heavy to carry with when strolling at a park
B. walking at a park is good for health
C. Some beds are big while some are smaller
choice:  B"
0, The inverter was able to power the continent. ,"#statement:  The inverter was able to power the continent. 
Choose the option regarding why this statement is against common sense:
A. An inverter is smaller than a car
B. An inverter is incapable of powering an entire continent.
C. An inverter is rechargeable.
choice:  B"
0, The chef put extra lemons on the pizza. ,"#statement:  The chef put extra lemons on the pizza. 
Choose the option regarding why this statement is against common sense:
A. Many types of lemons are to sour to eat.
B. Lemons and pizzas are both usually round.
C. Lemons are not a pizza topping.
choice:  C"
0, sugar is used to make coffee sour ,"#statement:  sugar is used to make coffee sour 
Choose the option regarding why this statement is against common sense:
A. sugar is white while coffee is brown
B. sugar can dissolve in the coffee
C. sugar usually is used as a sweetener
choice:  C) Sugar typically adds flavor or taste, not acidity"
0, There are beautiful planes here and there in the garden ,"#statement:  There are beautiful planes here and there in the garden 
Choose the option regarding why this statement is against common sense:
A. A plane flies upon the garden
B. You can have a small garden in your private plane
C. A plane can never be seen in garden
choice:  C) A Plane Can Never Be Seen In Garden"
0," Once a pipe bursts, call a doctor. ","#statement:  Once a pipe bursts, call a doctor. 
Choose the option regarding why this statement is against common sense:
A. Plumbers need to be trained.
B. plumbers fix the pipes while doctors cure sick people
C. Pipes come in all different sizes.
choice:  B"
0, Nobody hates paying taxes ,"#statement:  Nobody hates paying taxes 
Choose the option regarding why this statement is against common sense:
A. Not everybody needs to pay the tax
B. Taxes eliminate a great amount of our income and nobody wants to pay that amount that could be used for something else
C. Nobody, taxes and everyone are English words
choice:  B"
0, all whales are small ,"#statement:  all whales are small 
Choose the option regarding why this statement is against common sense:
A. whales are actually mammals
B. whales come in different sizes but almost all are very big
C. whale becomes whale fall after dead and feeds lots of small animals
choice:  B, Whales comes In Different Sizes But Almost All Are Very Big"
0, the boat enjoyed rolling in the mud ,"#statement:  the boat enjoyed rolling in the mud 
Choose the option regarding why this statement is against common sense:
A. mud is a mix of water and dirt
B. boats do not have emotions
C. boats can float on the water
choice:  B - Boats don't have feelings or sensations, so they cannot enjoy anything including ""rolling"" which implies movement caused by wind/water currents"
0, Barbies are the horrible desire for kids ,"#statement:  Barbies are the horrible desire for kids 
Choose the option regarding why this statement is against common sense:
A. the most horrible thing for the baby is that her barbies were lost
B. some kids do not like barbies
C. There is nothing wrong with kids desiring dolls as toys
choice:  C"
0, The window looks out her ,"#statement:  The window looks out her 
Choose the option regarding why this statement is against common sense:
A. She is wearing clothes and the window is clear
B. Eyes belong to people, not windows
C. Windows doesn't look at people
choice:  B"
0, crack addicts are addicted to chocolate milk ,"#statement:  crack addicts are addicted to chocolate milk 
Choose the option regarding why this statement is against common sense:
A. chocolate milk is delicious to drink on hot
B. you cannot inject chocolate milk
C. chocolate milk is not addictive
choice:  C) Chocolate Milk Is Not Additive"
0, the generator was able to power the continent ,"#statement:  the generator was able to power the continent 
Choose the option regarding why this statement is against common sense:
A. the continent need far more power than a generator can produce
B. the generator can produce 10 kilowatts of power
C. the generator is much smaller than the continent
choice:  B, The Generator Can Produce  10 Kilwats Of Power"
0, Toads are not made of wood ,"#statement:  Toads are not made of wood 
Choose the option regarding why this statement is against common sense:
A. trees can be made for wood
B. a witch can't eat wood
C. a witch is flesh and bones
choice:  C) A toad cannot turn into stone, but it may look like one due to its slow movements or dull coloring"
0, She went to the grocery store to get an aneurysm. ,"#statement:  She went to the grocery store to get an aneurysm. 
Choose the option regarding why this statement is against common sense:
A. An aneurysm is a medical condition.
B. Aneurysms aren't in season.
C. Aneurysms need to be special orders.
choice:  B, ""An aneurism isn’t something you can buy at your local supermarket."""
0, He pulled the water over his head when he got into bed. ,"#statement:  He pulled the water over his head when he got into bed. 
Choose the option regarding why this statement is against common sense:
A. people put covers not water on the bed
B. Water would make people wet and covers would make people dry.
C. Nobody can sleep in the water
choice:  B"
0, She is hypnotizing a book. ,"#statement:  She is hypnotizing a book. 
Choose the option regarding why this statement is against common sense:
A. Books are inanimate objects.
B. Books contain much information.
C. Bestsellers of books are very popular.
choice:  B)Books contains Much Information"
0, Roberts' room is sleeping ,"#statement:  Roberts' room is sleeping 
Choose the option regarding why this statement is against common sense:
A. A room cannot close his eyes, because he has no eyes, so he can't sleep.
B. Robert won't let the room sleep because he needs to sleep in it first.
C. Robert can sleep in his room
choice:  C"
0, Birds like to stay in the same location all year long. ,"#statement:  Birds like to stay in the same location all year long. 
Choose the option regarding why this statement is against common sense:
A. Birds change their habitats depending on the local temperature
B. Cold weather is inconvenient for the bird to survive
C. All year long he is chasing that bird
choice:  B"
0, The boy ate a basketball ,"#statement:  The boy ate a basketball 
Choose the option regarding why this statement is against common sense:
A. Basketballs are high in rubber
B. You cannot eat a basketball
C. Basketballs are round
choice:  B"
0, He put a pig into the pan ,"#statement:  He put a pig into the pan 
Choose the option regarding why this statement is against common sense:
A. pigs are usually pink while pans are usually silver
B. a pig is much bigger than a pan
C. pigs cannot use a pan
choice:  C"
0, waiting in line is for patient people ,"#statement:  waiting in line is for patient people 
Choose the option regarding why this statement is against common sense:
A. Something you find at an internet cafe is a customer
B. Some games have more precise rules than others
C. waiting in line is to avoid crowd
choice:  C) Waiting In Line Is For Patient People"
0, humans never go to sleep ,"#statement:  humans never go to sleep 
Choose the option regarding why this statement is against common sense:
A. people who do not sleep for a long time will die
B. humans mostly go to sleep at night
C. sleep help you recover and gain energy
choice:  B, Humans most of all goes to bed during daytime"
0, I can have a haircut at the pharmacy ,"#statement:  I can have a haircut at the pharmacy 
Choose the option regarding why this statement is against common sense:
A. Hair can be cut at the hairdresser or barber
B. hairdressers and pharmacists both earn money
C. I always like my new style of haircut
choice:  B - Hairstylists are trained professionals who use specialized tools to give you your ideal look, whereas Pharmacies do not employ people with those skills nor offer such services"
0, There are four years each season. ,"#statement:  There are four years each season. 
Choose the option regarding why this statement is against common sense:
A. different seasons have different temperatures
B. a year can be dived into four seasons
C. a season is shorter than a year
choice:  B"
0, The giraffe is riding the bicycle. ,"#statement:  The giraffe is riding the bicycle. 
Choose the option regarding why this statement is against common sense:
A. giraffes have long legs and necks.
B. Giraffes are are incapable of human behavior
C. Giraffes are living creatures.
choice:  B"
0, I put on my sunglasses because it was an overcast day. ,"#statement:  I put on my sunglasses because it was an overcast day. 
Choose the option regarding why this statement is against common sense:
A. The sun shines bright in August.
B. Sunglasses aren't needed on overcast days.
C. Overcast days are dreary.
choice:  B"
0, Kim is dating the garbage. ,"#statement:  Kim is dating the garbage. 
Choose the option regarding why this statement is against common sense:
A. Relationships take a lot of work.
B. People don't have relationships with garbage.
C. Garbage goes in a garbage can.
choice:  B"
0, A television plays audio only. ,"#statement:  A television plays audio only. 
Choose the option regarding why this statement is against common sense:
A. A television plays audio, as well as video.
B. I watch the news on the television.
C. The television has a football game on it.
choice:  B"
0, Rabbits are carnivores ,"#statement:  Rabbits are carnivores 
Choose the option regarding why this statement is against common sense:
A. Rabbits eat vegetables and they are herbivores
B. there are many herbivores and carnivorous in the world
C. the carnivorous will prey on the herbivores
choice:  C) The Carnivore Will Prey On Herbivorus"
0, I put a car inside the fridge. ,"#statement:  I put a car inside the fridge. 
Choose the option regarding why this statement is against common sense:
A. Car is much bigger than the fridge.
B. People can buy a car and a fridge easily
C. He drove a car to buy a fridge
choice:  B) people cannot simply purchase both items at once, as they are not related in any way"
0, Firetrucks are green ,"#statement:  Firetrucks are green 
Choose the option regarding why this statement is against common sense:
A. Red can't be green because it's red
B. The color of the firetrucks is red but not green
C. Some people can not discern green and red
choice:  B"
0, Amazon is the only place to shop online. ,"#statement:  Amazon is the only place to shop online. 
Choose the option regarding why this statement is against common sense:
A. the best place to shop online is to visit a store in person.
B. He likes to visit a store and then shop online.
C. There are plenty of locations to shop online.
choice:  B"
0, an aircraft carrier is a human ,"#statement:  an aircraft carrier is a human 
Choose the option regarding why this statement is against common sense:
A. an aircraft carrier is another type of weapon
B. the most excellent human will be selected to serve on aircraft carriers
C. an aircraft carrier is a large metal ship
choice:  C) An Aircraft Carrier Is a Large Metal Ship"
0, Plastic is more expensive than gold. ,"#statement:  Plastic is more expensive than gold. 
Choose the option regarding why this statement is against common sense:
A. Gold is a precious metal while plastic is cheap
B. Plastic is man made.
C. gold is heavier than plastic
choice:  B"
0, The branch ate the parrot. ,"#statement:  The branch ate the parrot. 
Choose the option regarding why this statement is against common sense:
A. Parrots are colorful, branches are dull.
B. A branch cannot eat things, like a parrot.
C. A branch cannot be inside a parrot.
choice:  B"
0, Today I ran three ice-creams to gain a lot of calories to help me lose weight. ,"#statement:  Today I ran three ice-creams to gain a lot of calories to help me lose weight. 
Choose the option regarding why this statement is against common sense:
A. A calorie is a unit of energy widely used in nutrition.
B. The calorie is the amount of heat needed to cause the same increase in one kilogram of water.
C. More calories means more weight
choice:  C"
0, You do not need eyes to read a book. ,"#statement:  You do not need eyes to read a book. 
Choose the option regarding why this statement is against common sense:
A. You only need one eye to read a book.
B. You do not need three eyes to read a book
C. Without eyes,  you cannot see the words of a book and then read it.
choice:  C"
0, the dog is talking ,"#statement:  the dog is talking 
Choose the option regarding why this statement is against common sense:
A. the dog barked at the mailman
B. dogs don't talk
C. the dog is a brown
choice:  B) Dogs do not speak or communicate in human language, so it goes Against Common Sense for them to be able ""to Talk"""
0, weathering is a hammer that breaks rock ,"#statement:  weathering is a hammer that breaks rock 
Choose the option regarding why this statement is against common sense:
A. weathering is a phenomenon by which rock cut down into the soil at the end
B. people can not eat rocks directly
C. it is a good weather today
choice:  B, People cannot eat rocks direct"
0, The sun sprays water on the planet ,"#statement:  The sun sprays water on the planet 
Choose the option regarding why this statement is against common sense:
A. The sun vaporize the water
B. The sun emits light not water
C. Water is liquid and the sun is gas
choice:  B -The Sun Emits Light Not Water"
0, people can need sleep ,"#statement:  people can need sleep 
Choose the option regarding why this statement is against common sense:
A. sleep is not a thing to have it granted
B. sleeping is nature for every living being
C. sleeping is an activity that every living thing needs
choice:  C"
0, he wrote a great hamburger ,"#statement:  he wrote a great hamburger 
Choose the option regarding why this statement is against common sense:
A. you can read a novel while eating a hamburger
B. hamburgers and novels are both items that are sold
C. nobody can write a hamburger
choice:  C, Nobody Can Write A Hamburger"
0, If you're poor you can buy a yacht. ,"#statement:  If you're poor you can buy a yacht. 
Choose the option regarding why this statement is against common sense:
A. A yacht can run on the water.
B. A yacht is used for cruising or racing
C. A yacht is very expensive
choice:  C) It goes Against Common Sense because owning and maintaining an luxury item like Yatchs are not affordable to most people who live in poverty, as they require significant"
0, apple is a blue fruit ,"#statement:  apple is a blue fruit 
Choose the option regarding why this statement is against common sense:
A. apple is grown on trees
B. apple cannot be blue
C. trees are not usually blue
choice:  B - Apple can't be Blue"
0, Monkeys have long necks. ,"#statement:  Monkeys have long necks. 
Choose the option regarding why this statement is against common sense:
A. Monkeys are mammals and so are giraffes.
B. Monkeys have short necks.
C. Monkeys eat bananas.
choice:  B - monkey's don’t actually possess a neck that can be described as “long”"
0, Tim went to the school in the sky ,"#statement:  Tim went to the school in the sky 
Choose the option regarding why this statement is against common sense:
A. buildings don't hang in the air
B. when Tim went to school, the sky is grey
C. Tim don't like to go to school
choice:  B"
0, Salsa is for hair ,"#statement:  Salsa is for hair 
Choose the option regarding why this statement is against common sense:
A. Salsa is too spicy for him
B. Salsa does not style hair well
C. Salsa is a food item
choice:  B) salsa doesn't styling his hair very good"
0, Everyday I feed my dog some chocolate bars. ,"#statement:  Everyday I feed my dog some chocolate bars. 
Choose the option regarding why this statement is against common sense:
A. dogs are bigger than chocolate bars
B. If a dog eats chocolate he will die.
C. Chocolate bars taste great with milk
choice:  B - if a dog eat's chocolate, they Will Die"
